D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
56327|2010|Toyota|Camry|sedan|Silver|125000|7999.00
78451|2015|Chevrolet|Malibu|sedan|Black|65000|10995.00
93215|2018|Nissan|Altima|sedan|White|40000|13999.00
10984|2008|Honda|Accord|sedan|Blue|98000|6999.00
24736|2017|Ford|F-150|truck|Gray|78000|27995.00
41876|2014|Toyota|Rav4|SUV|Blue|87000|12995.00
58269|2006|Chevrolet|Impala|sedan|White|145000|3999.00
67432|2016|Honda|CR-V|SUV|Silver|60000|16995.00
74589|2013|Ford|Escape|SUV|Black|92000|9999.00
82374|2009|Toyota|Corolla|sedan|Gray|105000|5999.00
90147|2011|Nissan|Sentra|sedan|Red|78000|7495.00
98752|2005|Chevrolet|Silverado|truck|Black|198000|5995.00
10561|2019|Honda|Pilot|SUV|White|35000|31995.00
11783|2012|Toyota|Prius|hatchback|Blue|95000|8995.00
12643|2014|Ford|Focus|hatchback|Silver|62000|7995.00
13756|2015|Nissan|Maxima|sedan|Black|45000|15995.00
14587|2007|Toyota|Highlander|SUV|Green|115000|9995.00
